ID Loja;Loja
1;Iguatemi Esplanada
2;Shopping Midway Mall
3;Norte Shopping
4;Shopping Iguatemi Fortaleza
5;Shopping União de Osasco
6;Shopping Center Interlagos
7;Rio Mar Recife
8;Salvador Shopping
9;Rio Mar Shopping Fortaleza
10;Shopping Center Leste Aricanduva
11;Ribeirão Shopping
12;Shopping Morumbi
13;Parque Dom Pedro Shopping
14;Bourbon Shopping SP
15;Palladium Shopping Curitiba
16;Passei das Águas Shopping
17;Center Shopping Uberlândia
18;Shopping Recife
19;Shopping Vila Velha
20;Shopping SP Market
21;Shopping Eldorado
22;Shopping Ibirapuera
23;Novo Shopping Ribeirão Preto
24;Iguatemi Campinas
25;Shopping Barra
